0.7,000596.SZ,古井贡酒
0.8,000597.SZ,东北制药
0.5,000598.SZ,兴蓉环境
0.9,000599.SZ,青岛双星
0.5,000600.SZ,建投能源
0.7,000601.SZ,韶能股份
0.4,000603.SZ,盛达资源
0.6,000605.SZ,渤海股份
1.0,000606.SZ,顺利退
0.7,000607.SZ,华媒控股
0.6,000608.SZ,阳光股份
0.8,000609.SZ,中迪投资
0.6,000610.SZ,西安旅游
0.5,000612.SZ,焦作万方
1.0,000615.SZ,*ST美谷
0.2,000616.SZ,*ST海投
0.6,000617.SZ,中油资本
0.3,000619.SZ,海螺新材
1.0,000620.SZ,*ST新联
0.7,000622.SZ,恒立实业
0.3,000623.SZ,吉林敖东
0.4,000625.SZ,长安汽车
0.2,000626.SZ,远大控股
0.7,000627.SZ,天茂集团
0.6,000628.SZ,高新发展
0.7,000629.SZ,钒钛股份
0.5,000630.SZ,铜陵有色
0.7,000631.SZ,顺发恒业
0.1,000632.SZ,三木集团
0.5,000633.SZ,合金投资
0.2,000635.SZ,英力特
0.5,000636.SZ,风华高科
0.0,000637.SZ,ST实华
0.1,000638.SZ,万方发展
0.4,000639.SZ,西王食品
0.8,000650.SZ,仁和药业
0.4,000651.SZ,格力电器
0.6,000652.SZ,泰达股份
0.7,000655.SZ,金岭矿业
0.5,000656.SZ,金科股份
0.3,000657.SZ,中钨高新
0.9,000659.SZ,珠海中富
0.6,000661.SZ,长春高新
0.6,000663.SZ,永安林业
0.6,000665.SZ,湖北广电
0.4,000666.SZ,经纬纺机
0.5,000667.SZ,ST美置
0.4,000668.SZ,荣丰控股
0.4,000669.SZ,ST金鸿
0.6,000670.SZ,盈方微
0.0,000671.SZ,ST阳光城
0.7,000672.SZ,上峰水泥
0.6,000676.SZ,智度股份
0.3,000677.SZ,恒天海龙
0.3,000678.SZ,襄阳轴承
0.3,000679.SZ,大连友谊
0.5,000680.SZ,山推股份
0.5,000681.SZ,视觉中国
0.5,000682.SZ,东方电子
0.8,000683.SZ,远兴能源
0.8,000685.SZ,中山公用
0.3,000686.SZ,东北证券
0.7,000688.SZ,国城矿业
0.5,000690.SZ,宝新能源
0.4,000691.SZ,亚太实业
0.2,000692.SZ,*ST惠天
0.4,000695.SZ,滨海能源
0.6,000697.SZ,*ST炼石
0.7,000698.SZ,沈阳化工
0.1,000700.SZ,模塑科技
0.6,000701.SZ,厦门信达
0.4,000702.SZ,正虹科技
0.3,000703.SZ,恒逸石化
0.7,000705.SZ,浙江震元
0.3,000707.SZ,双环科技
0.7,000708.SZ,中信特钢
0.5,000709.SZ,河钢股份
0.9,000710.SZ,贝瑞基因
0.6,000711.SZ,*ST京蓝
0.6,000712.SZ,锦龙股份
0.5,000713.SZ,丰乐种业
0.1,000715.SZ,中兴商业
0.6,000716.SZ,黑芝麻
0.7,000717.SZ,中南股份
0.8,000718.SZ,苏宁环球
0.4,000719.SZ,中原传媒
0.6,000720.SZ,新能泰山
0.7,000721.SZ,西安饮食
0.3,000722.SZ,湖南发展
0.4,000723.SZ,美锦能源
0.3,000725.SZ,京东方A
0.5,000726.SZ,鲁泰A
0.1,000727.SZ,冠捷科技
0.7,000728.SZ,国元证券
0.6,000729.SZ,燕京啤酒
0.4,000731.SZ,四川美丰
0.0,000732.SZ,ST泰禾
0.5,000733.SZ,振华科技
0.5,000735.SZ,罗牛山
0.5,000736.SZ,中交地产
0.6,000737.SZ,北方铜业
0.5,000738.SZ,航发控制
0.4,000739.SZ,普洛药业
0.6,000750.SZ,国海证券
0.3,000751.SZ,锌业股份
0.7,000752.SZ,*ST西发
0.3,000753.SZ,漳州发展
0.7,000755.SZ,山西路桥
0.6,000756.SZ,新华制药
0.6,000757.SZ,浩物股份
0.4,000758.SZ,中色股份
0.6,000759.SZ,中百集团
0.6,000761.SZ,本钢板材
