258.27,75724.36
255.7,83485.05
260.25,57269.51
260.05,99028.65
262.89,101512.22
267.78,107811.76
268.25,102366.16
269.21,123564.75
271.08,152296.82
271.88,243961.07
263.0,125776.0
261.22,81511.47
260.51,102891.21
258.0,107484.01
255.0,64454.26
256.55,100490.28
260.88,128981.11
258.32,104794.52
259.06,110679.75
255.45,86735.71
253.66,118381.17
252.2,166880.58
244.93,124722.91
246.99,185813.4
255.6,132078.95
261.91,68092.95
262.93,90619.4
265.1,120165.21
259.18,60105.82
259.08,100696.65
261.0,89556.05
265.13,81639.31
264.9,136926.27
260.1,104573.53
263.75,214236.87
259.79,253690.89
250.11,89884.83
254.03,121626.2
250.07,102439.59
252.52,118124.27
255.86,191944.8
258.92,242464.38
251.0,174492.04
244.3,187418.73
253.49,267017.34
243.0,104052.48
245.02,100308.3
250.85,111927.47
249.0,78432.2
249.44,90393.85
246.06,105506.44
242.82,80964.64
243.4,112329.7
249.83,87455.12
251.0,98057.91
249.28,68722.91
250.0,81942.27
250.92,137744.33
255.92,133691.25
256.02,167007.61
